Nodes Throughput EndtoEndDelay DeliveryRatio DropRatio Nodes Throughput2 EndtoEndDelay2 DeliveryRatio2 DropRatio2
5 11.009635443510188 0.02955742070016317 0.7478527607361963 0.24233128834355827 5 9.889705340971005 0.017965186914277613 0.6717791411042945 0.2846625766871166
15 32.64277969382692 0.051799856016508924 0.7411957411957412 0.2280917280917281 15 29.402252523915294 0.05429077290448993 0.6672809172809173 0.2925880425880426
20 43.65676509389084 0.05690731576485501 0.7430502227000461 0.22930425433881124 20 42.82368107917998 0.04121249188358248 0.7292274612194747 0.23022577177084932
25 51.65330087793806 0.07348235218123733 0.703526231723799 0.2660031944956383 25 50.64462307393373 0.060156813952114356 0.6896424622189458 0.2726379162059221
